X,Y,timestep_multiple,tau,d,training_start,training_end,training_size,testing_start,testing_length,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,1274,1500000,10000,13000,15,voronoi,none,False,85,7.043775593761766,False,85,0.5018332004547119,7.592396069230261,0.592286815412846
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,1832,1500000,10000,13000,15,voronoi,none,False,103,6.319355239185249,False,103,0.5242214202880859,7.318422667441894,0.6005818121416748
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,2636,1500000,10000,13000,15,voronoi,none,False,124,5.6694382305968585,False,124,0.5354893207550049,6.878059529916092,0.6632857528642995
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,3792,1500000,10000,13000,15,voronoi,none,False,150,5.086362236964125,False,150,0.5152852535247803,6.589785754598548,0.685778941797756
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,5455,1500000,10000,13000,15,voronoi,none,False,181,4.563252963228967,False,181,0.5868988037109375,6.447723012606341,0.7025093926884409
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,7847,1500000,10000,13000,15,voronoi,none,False,219,4.093943104383897,False,219,0.5455889701843262,6.402524973906157,0.7003311106103907
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,11288,1500000,10000,13000,15,voronoi,none,False,265,3.6728996347537115,False,265,0.5912697315216064,6.1997467263644275,0.7274161572843928
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,16237,1500000,10000,13000,15,voronoi,none,False,320,3.295158575244565,False,320,0.604560136795044,6.045216141094441,0.7397742075419983
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,23357,1500000,10000,13000,15,voronoi,none,False,386,2.9562664694854583,False,386,0.6204729080200195,5.891552525723568,0.7539361963203567
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,33598,1500000,10000,13000,15,voronoi,none,False,466,2.6522278788829987,False,466,0.6941444873809814,5.739400661724528,0.7683651574620256
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,48329,1500000,10000,13000,15,voronoi,none,False,562,2.379458277571489,False,562,0.6838335990905762,5.599469599177568,0.7793002452968089
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,69519,1500000,10000,13000,15,voronoi,none,False,679,2.1347417919036364,False,679,0.8036210536956787,5.494743212844078,0.7882622499358635
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,100000,1500000,10000,13000,15,voronoi,none,False,820,1.9151932862428738,False,820,0.8934955596923828,5.395512651043696,0.7958487282669623
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,100,150000,10000,13000,15,voronoi,none,False,22,15.05687009663611,False,22,0.31057286262512207,12.440430699045791,0.14349159298160105
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,143,150000,10000,13000,15,voronoi,none,False,27,13.508339336531005,False,27,0.31580114364624023,10.536097584375147,0.28532154671938625
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,206,150000,10000,13000,15,voronoi,none,False,33,12.119067937740798,False,33,0.31818389892578125,10.30868913859208,0.301601092739729
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,297,150000,10000,13000,15,voronoi,none,False,40,10.87267679768654,False,40,0.30851125717163086,9.679824440901156,0.28536045731348075
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,428,150000,10000,13000,15,voronoi,none,False,48,9.754471330159777,False,48,0.31970691680908203,9.336587928384688,0.2730617903453043
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,615,150000,10000,13000,15,voronoi,none,False,58,8.75126822045835,False,58,0.33977413177490234,9.330835911695795,0.37741385880593636
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,885,150000,10000,13000,15,voronoi,none,False,70,7.851239997970227,False,70,0.32421159744262695,10.096699605981915,0.35165796118399334
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,1274,150000,10000,13000,15,voronoi,none,False,85,7.043775593761766,False,85,0.32813072204589844,8.461719130075785,0.42998781264513464
