X,Y,tau,d,training_start,training_end,training_size,testing_start,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x.npy,z.npy,17,3,0,1000000,1000,5000000,5100000,15,uniform,lin,False,500,7.57229176485005,False,41,1.1571919918060303,4.693705641283137,0.8595131276670686
x.npy,z.npy,17,3,0,1000000,1000,5000000,5100000,15,voronoi,lin,False,41,7.57229176485005,False,41,0.8707242012023926,4.985179892754559,0.8432869679379301
x.npy,z.npy,17,3,0,1000000,1193,5000000,5100000,15,uniform,lin,False,500,7.182327997364613,False,54,1.2195408344268799,5.615282256805775,0.7855353108007147
x.npy,z.npy,17,3,0,1000000,1193,5000000,5100000,15,voronoi,lin,False,54,7.182327997364613,False,54,0.8018317222595215,4.5675672552345,0.8663499169578173
x.npy,z.npy,17,3,0,1000000,1425,5000000,5100000,15,uniform,lin,False,500,6.812446887108177,False,55,1.1353044509887695,6.0090427952086225,0.742652051083404
x.npy,z.npy,17,3,0,1000000,1425,5000000,5100000,15,voronoi,lin,False,55,6.812446887108177,False,55,0.8423774242401123,4.234390257246081,0.885293628474539
x.npy,z.npy,17,3,0,1000000,1701,5000000,5100000,15,uniform,lin,False,500,6.461614201787876,False,56,1.0668773651123047,3.960476657420727,0.9039895036693929
x.npy,z.npy,17,3,0,1000000,1701,5000000,5100000,15,voronoi,lin,False,56,6.461614201787876,False,56,0.7787046432495117,4.081005419180297,0.8971569748227902
x.npy,z.npy,17,3,0,1000000,2030,5000000,5100000,15,uniform,lin,False,500,6.128848970809422,False,69,1.0931448936462402,5.080121522652435,0.8291702792232851
x.npy,z.npy,17,3,0,1000000,2030,5000000,5100000,15,voronoi,lin,False,69,6.128848970809422,False,69,0.7421612739562988,3.824023386690643,0.9058036638148492
x.npy,z.npy,17,3,0,1000000,2424,5000000,5100000,15,uniform,lin,False,500,5.813220742364712,False,82,1.0857594013214111,3.903162772484235,0.9004967748087288
x.npy,z.npy,17,3,0,1000000,2424,5000000,5100000,15,voronoi,lin,False,82,5.813220742364712,False,82,0.7398838996887207,4.10787226033293,0.8886282653299131
x.npy,z.npy,17,3,0,1000000,2894,5000000,5100000,15,uniform,lin,False,500,5.513846981776142,False,83,1.0602104663848877,3.3098174832539913,0.939296347214946
x.npy,z.npy,17,3,0,1000000,2894,5000000,5100000,15,voronoi,lin,False,83,5.513846981776142,False,83,0.7838752269744873,3.5162328853435767,0.9195539395425565
x.npy,z.npy,17,3,0,1000000,3455,5000000,5100000,15,uniform,lin,False,500,5.22989060382295,False,96,1.1238634586334229,3.7609533464384226,0.9106535456161456
x.npy,z.npy,17,3,0,1000000,3455,5000000,5100000,15,voronoi,lin,False,96,5.22989060382295,False,96,0.7450668811798096,3.6560790548462165,0.9149272075811907
x.npy,z.npy,17,3,0,1000000,4124,5000000,5100000,15,uniform,lin,False,500,4.960557632149761,False,99,1.1667611598968506,3.4596546699386588,0.9238328285331472
x.npy,z.npy,17,3,0,1000000,4124,5000000,5100000,15,voronoi,lin,False,99,4.960557632149761,False,99,0.7799954414367676,3.4230799668431224,0.9250458677029822
x.npy,z.npy,17,3,0,1000000,4923,5000000,5100000,15,uniform,lin,False,500,4.70509497921274,False,117,1.0819249153137207,3.858521442608367,0.9094287279206833
x.npy,z.npy,17,3,0,1000000,4923,5000000,5100000,15,voronoi,lin,False,117,4.70509497921274,False,117,0.7221570014953613,2.927077531764653,0.9450101644080449
x.npy,z.npy,17,3,0,1000000,5878,5000000,5100000,15,uniform,lin,False,500,4.462788340555779,False,126,1.108994960784912,3.04170644098058,0.9427480562661358
x.npy,z.npy,17,3,0,1000000,5878,5000000,5100000,15,voronoi,lin,False,126,4.462788340555779,False,126,0.7227053642272949,3.251192686296836,0.9328619248574358
x.npy,z.npy,17,3,0,1000000,7017,5000000,5100000,15,uniform,lin,False,500,4.232960197528901,False,145,1.1344780921936035,3.6529802006389818,0.9133657915090595
x.npy,z.npy,17,3,0,1000000,7017,5000000,5100000,15,voronoi,lin,False,145,4.232960197528901,False,145,0.7744491100311279,2.7710827680646437,0.9508633017988432
x.npy,z.npy,17,3,0,1000000,8376,5000000,5100000,15,uniform,lin,False,500,4.014967922864224,False,156,1.1500227451324463,3.1868405348714615,0.9384893756553859
x.npy,z.npy,17,3,0,1000000,8376,5000000,5100000,15,voronoi,lin,False,156,4.014967922864224,False,156,0.7279415130615234,2.763164754757722,0.9523567114037179
x.npy,z.npy,17,3,0,1000000,10000,5000000,5100000,15,uniform,lin,False,500,3.8082019838124417,False,182,1.1539785861968994,5.424880866329618,0.8228841710825814
x.npy,z.npy,17,3,0,1000000,10000,5000000,5100000,15,voronoi,lin,False,182,3.8082019838124417,False,182,0.7365045547485352,2.5650969932496785,0.9582493087485284
x.npy,z.npy,17,3,0,1000000,11937,5000000,5100000,15,uniform,lin,False,500,3.612084237815579,False,186,1.1683356761932373,2.575112479183116,0.9587866754993064
x.npy,z.npy,17,3,0,1000000,11937,5000000,5100000,15,voronoi,lin,False,186,3.612084237815579,False,186,0.7597842216491699,2.8901093143745546,0.9466124531780229
x.npy,z.npy,17,3,0,1000000,14251,5000000,5100000,15,uniform,lin,False,500,3.4260663159505174,False,226,1.1451773643493652,3.8016562799798397,0.9079928593112929
x.npy,z.npy,17,3,0,1000000,14251,5000000,5100000,15,voronoi,lin,False,226,3.4260663159505174,False,226,0.7369086742401123,2.340364661395592,0.9655066062340054
