X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x.npy,z.npy,1,17,3,0,1000000,1000,5000000,100000,-1,15,voronoi,linear,False,75,7.57229176485005,False,75,1.3348665237426758,4.966085789278084,0.8408738775055131
x.npy,z.npy,1,17,3,0,1000000,1193,5000000,100000,-1,15,voronoi,linear,False,82,7.182327997364613,False,82,0.9633116722106934,4.492224776380374,0.8729958691445974
x.npy,z.npy,1,17,3,0,1000000,1425,5000000,100000,-1,15,voronoi,linear,False,90,6.812446887108177,False,90,0.9347517490386963,4.510259586852162,0.8726018976929921
x.npy,z.npy,1,17,3,0,1000000,1701,5000000,100000,-1,15,voronoi,linear,False,99,6.461614201787876,False,99,0.9186251163482666,4.115037794183521,0.891350396631569
x.npy,z.npy,1,17,3,0,1000000,2030,5000000,100000,-1,15,voronoi,linear,False,109,6.128848970809422,False,109,0.886549711227417,4.132776804624194,0.8974836925234536
x.npy,z.npy,1,17,3,0,1000000,2424,5000000,100000,-1,15,voronoi,linear,False,119,5.813220742364712,False,119,0.8757510185241699,3.8407594409886423,0.9062830369751789
x.npy,z.npy,1,17,3,0,1000000,2894,5000000,100000,-1,15,voronoi,linear,False,131,5.513846981776142,False,131,0.8902697563171387,3.239312910238949,0.9327017562853552
x.npy,z.npy,1,17,3,0,1000000,3455,5000000,100000,-1,15,voronoi,linear,False,143,5.22989060382295,False,143,0.8674023151397705,3.688625378634457,0.9125900203603707
x.npy,z.npy,1,17,3,0,1000000,4124,5000000,100000,-1,15,voronoi,linear,False,157,4.960557632149761,False,157,0.9165618419647217,3.373924554621556,0.9303505254466677
x.npy,z.npy,1,17,3,0,1000000,4923,5000000,100000,-1,15,voronoi,linear,False,172,4.70509497921274,False,172,0.9650623798370361,3.1707516749366365,0.935220269412798
x.npy,z.npy,1,17,3,0,1000000,5878,5000000,100000,-1,15,voronoi,linear,False,189,4.462788340555779,False,189,0.9218518733978271,3.071187760860215,0.939969956364981
x.npy,z.npy,1,17,3,0,1000000,7017,5000000,100000,-1,15,voronoi,linear,False,207,4.232960197528901,False,207,0.8828017711639404,2.800141029421887,0.952853850702351
x.npy,z.npy,1,17,3,0,1000000,8376,5000000,100000,-1,15,voronoi,linear,False,227,4.014967922864224,False,227,0.8998243808746338,2.8847208016531014,0.9471001527382652
x.npy,z.npy,1,17,3,0,1000000,10000,5000000,100000,-1,15,voronoi,linear,False,248,3.8082019838124417,False,248,0.9212067127227783,2.7241928608646373,0.953140003763934
x.npy,z.npy,1,17,3,0,1000000,11937,5000000,100000,-1,15,voronoi,linear,False,272,3.612084237815579,False,272,0.895122766494751,2.6989909247875765,0.9541279690483679
x.npy,z.npy,1,17,3,0,1000000,14251,5000000,100000,-1,15,voronoi,linear,False,299,3.4260663159505174,False,299,0.8801608085632324,2.4987561706337824,0.9606497129468523
x.npy,z.npy,1,17,3,0,1000000,17012,5000000,100000,-1,15,voronoi,linear,False,327,3.2496280896232106,False,327,0.9154350757598877,2.331089488502775,0.9664150756123393
x.npy,z.npy,1,17,3,0,1000000,20309,5000000,100000,-1,15,voronoi,linear,False,359,3.0822762162262602,False,359,0.9241325855255127,2.293623418086225,0.966955187837982
x.npy,z.npy,1,17,3,0,1000000,24244,5000000,100000,-1,15,voronoi,linear,False,393,2.9235427596933485,False,393,0.971684455871582,2.2395952869902116,0.9693017784406217
x.npy,z.npy,1,17,3,0,1000000,28942,5000000,100000,-1,15,voronoi,linear,False,431,2.7729838820934503,False,431,0.9149205684661865,2.0384089688851295,0.9737317799503121
x.npy,z.npy,1,17,3,0,1000000,34551,5000000,100000,-1,15,voronoi,linear,False,473,2.6301786026063154,False,473,0.9562685489654541,2.065968625052723,0.9733766391235578
x.npy,z.npy,1,17,3,0,1000000,41246,5000000,100000,-1,15,voronoi,linear,False,518,2.4947276204092166,False,518,0.9351725578308105,1.838630676296386,0.9788325050267451
x.npy,z.npy,1,17,3,0,1000000,49238,5000000,100000,-1,15,voronoi,linear,False,568,2.3662521981835885,False,568,0.9174871444702148,1.8831939856048439,0.9775853760147923
x.npy,z.npy,1,17,3,0,1000000,58780,5000000,100000,-1,15,voronoi,linear,False,622,2.2443931031197004,False,622,0.9933569431304932,1.7707500856122516,0.9804167461870639
x.npy,z.npy,1,17,3,0,1000000,70170,5000000,100000,-1,15,voronoi,linear,False,682,2.1288096024582965,False,682,0.9933764934539795,1.7040693303385175,0.9819766617058361
x.npy,z.npy,1,17,3,0,1000000,83767,5000000,100000,-1,15,voronoi,linear,False,748,2.0191785107606233,False,748,1.0394344329833984,1.5779951398690923,0.9848613516064826
x.npy,z.npy,1,17,3,0,1000000,100000,5000000,100000,-1,15,voronoi,linear,False,820,1.9151932862428738,False,820,1.0660333633422852,1.5614694346267406,0.9848600923410765
x.npy,z.npy,1,17,3,0,1000000,119377,5000000,100000,-1,15,voronoi,linear,False,899,1.816563173648306,False,899,1.247297763824463,1.4898088858186644,0.9860826954430875
x.npy,z.npy,1,17,3,0,1000000,142510,5000000,100000,-1,15,voronoi,linear,False,985,1.7230123912604034,False,985,1.1490092277526855,1.4475837704928582,0.9868649696277736
