X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,nonempty,time,rmse,pcc
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,100000,110000,10000,-1,0.25,voronoi,none,False,32,3.5,False,False,32,0.231825590133667,0.07070761773809171,0.9727967087900175
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,100000,110000,10000,-1,0.25,voronoi,none,False,32,3.5,False,False,32,0.23907113075256348,0.06669809595322193,0.9757587091371256
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,630,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.08907222747802734,0.10430457218123028,0.9421211378326073
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,630,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.1204991340637207,0.11552900188003219,0.9291849776108897
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,630,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.12216973304748535,0.10373195606278567,0.9411297747903677
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,2238,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.12275171279907227,0.07989123351885759,0.9648659848869081
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,2238,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.09568142890930176,0.07885889760507092,0.9658968222628045
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,2238,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.10736465454101562,0.07882701847748248,0.9661245880762023
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,7943,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.1271524429321289,0.06343254775926772,0.9780581565185547
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,7943,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.12180209159851074,0.06625483004903698,0.9761712190238976
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,7943,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.12354063987731934,0.06857244198352927,0.9743158677897467
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,28183,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.1433107852935791,0.06084960332935029,0.9799307372907233
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,28183,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.1416316032409668,0.059495807060428535,0.9807388435864448
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,28183,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.14485955238342285,0.06623806528102742,0.9763513925041969
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,100000,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.27453088760375977,0.0644689979835026,0.9775359806651653
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,100000,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.3092334270477295,0.06525685632899456,0.9771632151363177
anode_cathode.npy,cathode_pearson.npy,1,150,20,0,100000,100000,110000,10000,-1,0.25,voronoi,none,False,64,3.5,False,False,64,0.31824183464050293,0.06179041173729646,0.9794766274049714
