X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,nonempty,time,rmse,pcc
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,139,0.32738471031188965,11.476429821541343,0.47163306827187307
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,141,0.3610248565673828,10.469341423925401,0.5551014527404465
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,145,0.18460536003112793,11.408125779340766,0.5549883871746455
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,140,0.19155263900756836,11.070787982704653,0.5294482863417339
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,148,0.20786523818969727,10.810520584199132,0.5994345249696906
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,140,0.20709562301635742,11.051062515620009,0.5186101734364651
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,141,0.2294938564300537,10.812820816608923,0.4991556795099052
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,146,0.2029712200164795,10.600276798245645,0.5317759164174125
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,145,0.14890527725219727,11.580443235694693,0.4079744041138699
x.npy,z.npy,1,17,3,0,100000,630,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,149,0.20573163032531738,10.105166938543137,0.542467287446859
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,159,0.212324857711792,8.436789325718458,0.6481011697040227
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,163,0.1994321346282959,9.008972799553245,0.6493833712628343
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,171,0.20397162437438965,8.729189344480853,0.6734414021490608
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,159,0.1751995086669922,8.089951922759447,0.6928072017169852
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,162,0.196044921875,8.622808207453819,0.6498089038232183
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,164,0.20625615119934082,8.443832858123546,0.637411850495262
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,154,0.19804668426513672,9.10780824098093,0.6370833453860545
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,162,0.17528796195983887,8.353498193217733,0.6437036718793746
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,164,0.1700599193572998,8.095083921429467,0.7073889561328248
x.npy,z.npy,1,17,3,0,100000,1107,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,162,0.18559932708740234,9.232457891714715,0.6095440386529054
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,187,0.2074902057647705,6.845562412023248,0.7512544579519214
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,169,0.21176481246948242,6.810126110378883,0.7408106978803985
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,176,0.2167496681213379,6.394509754480302,0.7683911916883375
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,168,0.2506601810455322,6.103098588563038,0.7854539740259433
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,172,0.2192857265472412,6.424902929828425,0.7735486288859483
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,177,0.18133044242858887,6.883004840233475,0.7527165448447161
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,173,0.15972590446472168,6.3583052941055245,0.7702916829043772
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,171,0.20411252975463867,7.753587984028442,0.6857087437217941
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,186,0.18996119499206543,6.756292933161982,0.7813727940918578
x.npy,z.npy,1,17,3,0,100000,1944,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,164,0.1863689422607422,6.452948038219691,0.7671386080269866
x.npy,z.npy,1,17,3,0,100000,3414,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,182,0.17919707298278809,4.839090166052412,0.8540910544896003
x.npy,z.npy,1,17,3,0,100000,3414,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,187,0.15784120559692383,5.417905639934681,0.8198574192941253
x.npy,z.npy,1,17,3,0,100000,3414,110000,10000,-1,15,uniform,none,False,50,3.5,False,False,175,0.17006802558898926,5.246227225369225,0.834539165805188
