X,Y,timestep_multiple,tau,d,training_start,training_length,training_size,testing_start,testing_length,testing_size,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,save_bincounts,nonempty,time,rmse,pcc
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,151,5.331644296646118,10.586688271885302,0.5603012926296502
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,143,2.7587950229644775,10.904092647652206,0.534262466040782
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,141,0.6562035083770752,11.063537838871234,0.5347987351163044
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,154,0.6927111148834229,11.125335825433888,0.4978929826895747
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,147,0.8032214641571045,10.75630413147565,0.5697497746600897
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,134,0.6968698501586914,10.419569024163348,0.5955390078217007
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,148,0.6951756477355957,10.570095204612883,0.5901820489510279
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,140,0.6979708671569824,11.129989660574942,0.5163397371719002
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,148,0.6558322906494141,11.044904977855529,0.5348385634510967
x.npy,z.npy,1,17,3,0,1000000,630,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,139,0.6940181255340576,11.248229524741124,0.5764513503588393
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,168,0.7387008666992188,7.547623734832882,0.7314339364853298
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,162,0.6931090354919434,7.482988881019532,0.7342588327177395
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,161,0.6601214408874512,7.853557928190007,0.6929143365018221
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,169,0.6972095966339111,8.182967411224503,0.7114801685029489
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,159,0.6371586322784424,9.528294814722717,0.5712868865960365
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,165,0.6451685428619385,8.792418933573302,0.6431836559280114
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,158,0.6680803298950195,9.047912017873664,0.6316997140046425
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,161,0.6337339878082275,7.957779682160243,0.6840075821991332
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,159,0.6566689014434814,8.079905302072397,0.7280105793979493
x.npy,z.npy,1,17,3,0,1000000,1107,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,167,0.718949556350708,8.372811282527039,0.64784437220254
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,170,0.6319918632507324,6.227152352657045,0.7874341098740976
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,165,0.6931874752044678,6.1360832978914965,0.7765798510987616
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,180,0.717479944229126,6.129977162586951,0.7818091221671362
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,168,0.7200086116790771,6.020963274162716,0.7990860262246371
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,167,0.6728916168212891,6.369139944154958,0.7781604109780936
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,172,0.6620233058929443,6.263937425623341,0.7851149596933271
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,173,0.6677038669586182,5.930031874747492,0.8059146707277627
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,180,0.6489863395690918,6.197160309903228,0.783405861016032
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,181,0.6108911037445068,5.756697168103998,0.8257410615516931
x.npy,z.npy,1,17,3,0,1000000,1944,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,176,0.6562304496765137,6.207528710849126,0.7964305692335464
x.npy,z.npy,1,17,3,0,1000000,3414,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,191,0.6444694995880127,5.008934419168511,0.8484190370661956
x.npy,z.npy,1,17,3,0,1000000,3414,1500000,100000,-1,15,uniform,none,False,50,3.5,False,False,191,0.7101385593414307,4.864111745023899,0.8565514434106329
