X,Y,tau,d,training_start,training_end,training_size,testing_start,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,uniform,none,False,500,10.0,False,47,60.98515033721924,4.250938445317482,0.8799686919362331
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,voronoi,none,False,47,10.0,False,47,17.598317861557007,4.359113842887195,0.873335742765112
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,uniform,none,False,500,8.138161719423081,False,61,60.61885142326355,3.9714356545690648,0.8961272782235379
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,voronoi,none,False,61,8.138161719423081,False,61,17.630690097808838,3.74548687000869,0.9081950820606364
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,uniform,none,False,500,6.622967617148327,False,88,61.10042357444763,3.3217145428023787,0.928555451187427
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,voronoi,none,False,88,6.622967617148327,False,88,18.14620280265808,3.155728212283593,0.9357595741354383
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,uniform,none,False,500,5.389878153085523,False,111,61.77204442024231,3.3339179012588525,0.9280100799249908
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,voronoi,none,False,111,5.389878153085523,False,111,18.82750678062439,2.8304010476574453,0.9486675749344904
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,uniform,none,False,500,4.386370005779539,False,169,61.67661190032959,2.798922739815007,0.9498295989120831
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,voronoi,none,False,169,4.386370005779539,False,169,19.52949333190918,2.541993636049889,0.9588063208381046
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,uniform,none,False,500,3.5696988468260646,False,242,61.88131761550903,2.509209309517063,0.9598837725918028
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,voronoi,none,False,242,3.5696988468260646,False,242,20.186779022216797,2.237630098417,0.9682379064420022
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,uniform,none,False,500,2.9050786505108603,False,372,61.84145259857178,2.1503603287367112,0.9707016239734185
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,voronoi,none,False,372,2.9050786505108603,False,372,21.234532833099365,1.8813363912616594,0.9776518501339929
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,uniform,none,False,500,2.3641999865500756,False,509,61.42639923095703,1.8646829112498646,0.9780494285857834
x.npy,z.npy,17,3,0,9000000,9000000,9800000,9900000,15,voronoi,none,False,509,2.3641999865500756,False,509,22.79511070251465,1.6453361855756257,0.9829535194701026
