9900,100,0.01,0.1,2,lin2,0.9587244987487793,0.4179942200725517
19900,100,0.01,0.1,2,lin2,2.046544313430786,0.38972746224814847
29900,100,0.01,0.1,2,lin2,3.109372138977051,0.3298249592438305
39900,100,0.01,0.1,2,lin2,4.200131893157959,0.29719468998843307
49900,100,0.01,0.1,2,lin2,5.308855772018433,0.29258767297375354
59900,100,0.01,0.1,2,lin2,6.424853086471558,0.2836886251883801
69900,100,0.01,0.1,2,lin2,7.524075984954834,0.27414446344291615
79900,100,0.01,0.1,2,lin2,8.722229480743408,0.2558488710870787
89900,100,0.01,0.1,2,lin2,9.795191764831543,0.2557523928889717
99900,100,0.01,0.1,2,lin2,10.835035800933838,0.2582081714340547
